scope	left	right	gene	left_guides	right_guides	left_lfc	right_lfc	delta_lfc	left_fdr	right_fdr	left_rank	right_rank	left_call_0_05	right_call_0_05	left_distance_from_0_05	right_distance_from_0_05
full	joint_best	joint_radius	CCDC115	4	4	-2.1979	-2.2011	-0.0031999999999996476	0.050075	0.047517	1115.0	1102.0	0	1	7.499999999999868e-05	0.002483000000000006
full	joint_best	joint_radius	CTDNEP1	4	4	-2.5014	-2.5047	-0.0033000000000003027	0.050533	0.048104	1124.0	1108.0	0	1	0.0005329999999999988	0.0018960000000000019
full	joint_best	joint_radius	DMAP1	4	4	-3.1572	-3.1605	-0.0032999999999998586	0.051427	0.04857	1130.0	1112.0	0	1	0.0014269999999999977	0.0014300000000000007
full	joint_best	joint_radius	DNMT1	4	4	-2.5296	-2.5329	-0.0033000000000003027	0.052405	0.049703	1135.0	1119.0	0	1	0.0024049999999999974	0.0002970000000000056
full	joint_best	joint_radius	FAM157A	4	4	-2.2931	-2.243	0.05010000000000003	0.02456	0.158811	820.0	1629.0	1	0	0.025440000000000004	0.108811
full	joint_best	joint_radius	FAM60A	4	4	-2.6238	-2.627	-0.0031999999999996476	0.052008	0.049306	1131.0	1114.0	0	1	0.002007999999999996	0.0006940000000000002
full	joint_best	joint_radius	GOLGA8M	4	4	-1.9608	-1.2789	0.6819000000000002	0.020387	0.080459	765.0	1331.0	1	0	0.029613000000000004	0.030459
full	joint_best	joint_radius	HIST1H2BN	4	4	-2.9364	-2.8117	0.12469999999999981	0.049062	0.147511	1100.0	1601.0	1	0	0.0009380000000000013	0.097511
full	joint_best	joint_radius	IFNA14	4	4	-1.4254	-1.3064	0.119	0.049732	0.295538	1108.0	1982.0	1	0	0.00026800000000000435	0.24553800000000003
full	joint_best	joint_radius	INTS4	4	4	-2.5204	-2.5237	-0.0032999999999998586	0.050533	0.04815	1126.0	1109.0	0	1	0.0005329999999999988	0.0018500000000000044
full	joint_best	joint_radius	LOC102724862	4	4	-5.0239	-2.6631	2.3608000000000002	0.006641	0.248445	365.0	1868.0	1	0	0.043359	0.19844499999999998
full	joint_best	joint_radius	LRRC37A	4	4	-3.182	-2.3651	0.8169	0.048044	0.078496	1092.0	1318.0	1	0	0.0019559999999999994	0.028495999999999994
full	joint_best	joint_radius	MRPL45	4	4	-2.4891	-2.4924	-0.0032999999999998586	0.050083	0.047251	1117.0	1099.0	0	1	8.299999999999974e-05	0.0027490000000000014
full	joint_best	joint_radius	MRPS23	4	4	-2.9436	-2.9468	-0.0032000000000000917	0.053026	0.049983	1141.0	1123.0	0	1	0.003025999999999994	1.7000000000003124e-05
full	joint_best	joint_radius	MRPS24	4	4	-2.6189	-2.6222	-0.0032999999999998586	0.050317	0.047517	1122.0	1101.0	0	1	0.00031699999999999784	0.002483000000000006
full	joint_best	joint_radius	MTCH2	4	4	-2.147	-2.1503	-0.0033000000000003027	0.05264	0.049703	1139.0	1120.0	0	1	0.0026399999999999965	0.0002970000000000056
full	joint_best	joint_radius	NSMCE1	4	4	-2.7036	-2.7069	-0.0033000000000003027	0.05016	0.047517	1119.0	1103.0	0	1	0.00016000000000000042	0.002483000000000006
full	joint_best	joint_radius	PAXBP1	4	4	-2.1004	-2.1037	-0.0032999999999998586	0.05264	0.049769	1137.0	1121.0	0	1	0.0026399999999999965	0.00023100000000000204
full	joint_best	joint_radius	PET100	4	4	-2.6197	-2.6229	-0.0032000000000000917	0.051385	0.048876	1129.0	1113.0	0	1	0.0013849999999999973	0.001124
full	joint_best	joint_radius	POLR1D	4	4	-3.4588	-3.4621	-0.0032999999999998586	0.05016	0.04785	1120.0	1105.0	0	1	0.00016000000000000042	0.002150000000000006
full	joint_best	joint_radius	POLR3E	4	4	-2.0171	-2.0203	-0.0032000000000000917	0.050662	0.048365	1127.0	1111.0	0	1	0.0006619999999999959	0.0016350000000000045
full	joint_best	joint_radius	PRAMEF6	4	4	-2.0315	-2.0853	-0.05380000000000029	0.049749	0.434656	1109.0	2242.0	1	0	0.0002510000000000012	0.384656
full	joint_best	joint_radius	RPE	4	4	-4.6307	-3.8883	0.7424	0.030471	0.162197	901.0	1639.0	1	0	0.019529	0.112197
full	joint_best	joint_radius	RPL28	4	4	-2.0109	-2.0142	-0.0033000000000003027	0.05264	0.049852	1138.0	1122.0	0	1	0.0026399999999999965	0.0001480000000000023
full	joint_best	joint_radius	SDHC	4	4	-4.4054	-4.4086	-0.0031999999999996476	0.050533	0.047896	1125.0	1106.0	0	1	0.0005329999999999988	0.0021040000000000017
full	joint_best	joint_radius	SDHD	4	4	-3.866	-3.8692	-0.0032000000000000917	0.050083	0.047251	1116.0	1100.0	0	1	8.299999999999974e-05	0.0027490000000000014
full	joint_best	joint_radius	SNAPC2	4	4	-1.9584	-1.9616	-0.0032000000000000917	0.052401	0.049703	1134.0	1117.0	0	1	0.0024010000000000004	0.0002970000000000056
full	joint_best	joint_radius	SNRNP48	4	4	-1.8754	-1.8787	-0.0033000000000000806	0.052265	0.049703	1133.0	1116.0	0	1	0.002264999999999996	0.0002970000000000056
full	joint_best	joint_radius	SPC25	4	4	-3.8867	-3.8898	-0.0031000000000003247	0.050662	0.048328	1128.0	1110.0	0	1	0.0006619999999999959	0.0016719999999999999
full	joint_best	joint_radius	SPDYE1	4	4	-3.3912	-1.0635	2.3277	0.017876	0.999999	707.0	4162.0	1	0	0.032124	0.9499989999999999
full	joint_best	joint_radius	SPDYE2	4	4	-3.9107	-3.6971	0.2136	0.001386	0.056713	69.0	1169.0	1	0	0.048614000000000004	0.006712999999999997
full	joint_best	joint_radius	TBC1D3B	4	4	-2.4101	-2.3437	0.06639999999999979	0.002495	0.071892	124.0	1276.0	1	0	0.047505000000000006	0.021891999999999995
full	joint_best	joint_radius	TBC1D3F	4	4	-2.8142	-2.6271	0.18710000000000004	0.019192	0.215048	749.0	1782.0	1	0	0.030808000000000002	0.16504799999999997
full	joint_best	joint_radius	TEX10	4	4	-2.3663	-2.3696	-0.0033000000000003027	0.052233	0.049615	1132.0	1115.0	0	1	0.002232999999999999	0.0003850000000000034
full	joint_best	joint_radius	USP17L27	4	4	-2.8624	-2.0431	0.8193000000000001	0.020882	0.106096	770.0	1427.0	1	0	0.029118	0.05609599999999999
full	joint_best	joint_radius	USP17L28	4	4	-2.8569	-1.505	1.3519	0.034643	0.239729	964.0	1856.0	1	0	0.015357000000000003	0.18972899999999998
full	joint_best	joint_radius	USP17L29	4	4	-3.078	-1.5224	1.5555999999999999	0.043487	0.30828	1046.0	2015.0	1	0	0.006513000000000005	0.25828
full	joint_best	joint_radius	USP17L5	4	4	-2.5065	-0.59257	1.91393	0.033643	0.953411	939.0	3014.0	1	0	0.016357000000000003	0.903411
full	joint_best	joint_radius	WDR33	4	4	-2.8797	-2.8831	-0.0034000000000000696	0.050395	0.048049	1123.0	1107.0	0	1	0.0003949999999999995	0.0019510000000000013
full	joint_best	joint_radius	ZMAT5	4	4	-3.1633	-3.1666	-0.0032999999999998586	0.050152	0.04776	1118.0	1104.0	0	1	0.00015199999999999936	0.002240000000000006
thin	event_best	joint_best	ATP5E	4	4	-2.457	-1.9806	0.47639999999999993	0.049703	0.068191	1117.0	1257.0	1	0	0.0002970000000000056	0.018191
thin	event_best	joint_best	GAGE1	4	4	-1.2424	-1.3733	-0.13090000000000002	0.018286	0.10434	722.0	1420.0	1	0	0.031714000000000006	0.05434
thin	event_best	joint_best	PLGLB1	4	4	-0.95457	-1.4669	-0.5123300000000001	0.035659	0.321415	974.0	2081.0	1	0	0.014341	0.271415
